condition,mask_strategy,observation_fraction,family,seed,rmse,correlation,correlation_retention,spectral_information_loss,parameter_estimation_error
blind,random,0.75,gaussian,3,0.03398985122563068,0.9996265457621143,0.9992532309922963,0.08699824547638257,0.3566666666666667
interpolation_baseline,random,0.75,gaussian,3,0.4407701293053226,0.997964939571357,0.9959340206136622,0.053311673837574625,0.0
naive_baseline,random,0.75,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,random,0.5,gaussian,3,0.04133982441622054,0.9939594424591192,0.987955373253643,0.08913662822278412,0.0
blind,random,0.5,gaussian,3,0.05185005284528592,0.9935240341376431,0.9870900064091367,0.08773888553371911,0.3566666666666667
interpolation_baseline,random,0.5,gaussian,3,0.44431925152421353,0.9949609269575984,0.9899472461723234,0.07155026125172437,0.0
naive_baseline,random,0.5,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,random,0.25,gaussian,3,0.08548849874247354,0.9710239689272158,0.9428875482311625,0.09150425615071611,0.0
blind,random,0.25,gaussian,3,0.09103305115704277,0.9705611454151795,0.9419889369896252,0.0912245850484309,0.3566666666666667
interpolation_baseline,random,0.25,gaussian,3,0.4486294031932874,0.9724657200885892,0.9456895767474184,0.0727180597670809,0.0
naive_baseline,random,0.25,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,random,0.1,gaussian,3,0.5575962269383813,0.3462807038083149,0.1199103258299819,0.06921138273350669,0.0
blind,random,0.1,gaussian,3,0.4383984767638307,0.2862736340646209,0.08195259356056449,0.09387818597555153,0.043333333333333335
interpolation_baseline,random,0.1,gaussian,3,1.0402324295626333,0.40265821809402996,0.1621336405986594,0.03535101082236247,0.0
naive_baseline,random,0.1,gaussian,3,0.8204211403039274,nan,nan,0.1899125445437645,0.0
oracle,uniform,1.0,gaussian,7,0.002181436932015955,0.9999869760734269,0.9999739523164765,0.003907453493689816,0.0
blind,uniform,1.0,gaussian,7,0.00588084058998141,0.9999902234643018,0.9999804470241842,0.011719159550097169,0.35000000000000003
interpolation_baseline,uniform,1.0,gaussian,7,0.6203149554263263,0.9981749815225578,0.9963532937375585,0.03036259782370676,0.0
naive_baseline,uniform,1.0,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,uniform,0.75,gaussian,7,0.00843094664996209,0.9998024121626289,0.9996048633662112,0.09611064746214015,0.0
blind,uniform,0.75,gaussian,7,0.009526761706586616,0.9998204720858435,0.9996409764019589,0.09583807426321256,0.35000000000000003
interpolation_baseline,uniform,0.75,gaussian,7,0.6195876289010919,0.9981613078556056,0.9963259965000132,0.04976521623454633,0.0
naive_baseline,uniform,0.75,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,uniform,0.5,gaussian,7,0.01172959137878925,0.9996171140365048,0.9992343746746706,0.11127671746040013,0.0
blind,uniform,0.5,gaussian,7,0.012106874370559809,0.9996522177423812,0.9993045564372611,0.10972020196768151,0.35000000000000003
interpolation_baseline,uniform,0.5,gaussian,7,0.6188484280665713,0.9981444670956061,0.9962923771935716,0.06227238360504117,0.0
naive_baseline,uniform,0.5,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,uniform,0.25,gaussian,7,0.02298752261928803,0.99855614501953,0.9971143747562647,0.09981974210640532,0.0
blind,uniform,0.25,gaussian,7,0.022244972095883025,0.9986125557513238,0.9972270365041908,0.0981831473544913,0.35000000000000003
interpolation_baseline,uniform,0.25,gaussian,7,0.6136510988137016,0.9972470602233774,0.9945016991241685,0.05898001341006032,0.0
naive_baseline,uniform,0.25,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,uniform,0.1,gaussian,7,0.10692662307299586,0.9742151401188205,0.949095139236733,0.08627100956402645,0.0
blind,uniform,0.1,gaussian,7,0.1050927377305448,0.9743443841682154,0.949346978960139,0.0857325529343187,0.35000000000000003
interpolation_baseline,uniform,0.1,gaussian,7,0.5659203226755766,0.9754474580198529,0.9514977433573927,0.05164103955628463,0.0
naive_baseline,uniform,0.1,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,window,1.0,gaussian,7,0.002181436932015955,0.9999869760734269,0.9999739523164765,0.003907453493689816,0.0
blind,window,1.0,gaussian,7,0.00588084058998141,0.9999902234643018,0.9999804470241842,0.011719159550097169,0.35000000000000003
interpolation_baseline,window,1.0,gaussian,7,0.6203149554263263,0.9981749815225578,0.9963532937375585,0.03036259782370676,0.0
naive_baseline,window,1.0,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,window,0.75,gaussian,7,0.23245514265685518,0.8910719883171374,0.7940092883634566,0.10553558271286556,0.0
