condition,mask_strategy,observation_fraction,trial_count,rmse_mean,rmse_std,correlation_mean,correlation_std,correlation_retention_mean,correlation_retention_std,spectral_information_loss_mean,spectral_information_loss_std,parameter_estimation_error_mean,parameter_estimation_error_std,correlation_undefined_count
interpolation_baseline,random,0.5,9,0.35455530681509373,0.1370458195843677,0.9946852139805633,0.0025010614879594434,0.9894049302201258,0.0049738777844228225,0.09623127930472887,0.029885451427595452,0.0,0.0,0
interpolation_baseline,random,0.25,9,0.3421145046246954,0.13528751081600576,0.9857750117032332,0.01217494862363095,0.9719006030724976,0.023896004072727073,0.10447243250538177,0.03181828037533557,0.0,0.0,0
interpolation_baseline,random,0.1,9,0.5207321247393953,0.2559631331009545,0.6609434034501116,0.39622551637496434,0.5938408423908242,0.2821028592833807,0.10045080957479886,0.050941459634678964,0.0,0.0,0
naive_baseline,uniform,1.0,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,uniform,0.75,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,uniform,0.5,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,uniform,0.25,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,uniform,0.1,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,window,1.0,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,window,0.75,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,window,0.5,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,window,0.25,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,window,0.1,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,random,1.0,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,random,0.75,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,random,0.5,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,random,0.25,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
naive_baseline,random,0.1,9,0.5971508917371643,0.2217402125872504,nan,0.0,nan,0.0,0.1629969660194656,0.057563672062198194,0.0,0.0,9
